Name	RPKM	CancerName	Type
TCGA-BRCA_TCGA-E9-A1RH	46.83061907	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A0BW	9.524501176	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A8G0	22.21853211	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A8-A090	62.54818981	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A8-A06U	37.54353311	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-EW-A1PG	94.12378075	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AN-A0XR	24.56306715	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-D8-A3Z6	52.15400713	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-PE-A5DC	17.40893203	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A14X	11.74995764	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A2-A0EO	74.35213183	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A18U	4.137333093	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A0I9	36.63947135	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A0I5	5.513559279	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-OK-A5Q2	27.5989889	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AR-A24P	99.33389366	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AN-A0AR	13.29834042	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E9-A1RF	68.04784962	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A8-A06Y	35.96769828	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-D8-A146	113.4998379	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-EW-A1J5	28.53488119	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-D8-A1JI	7.064842342	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-EW-A1P1	56.757528	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A2-A0T0	37.90326896	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A0DT	120.7613066	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A0DH	1.721837081	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A2-A259	42.73853452	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A0DK	7.373024985	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A0RP	51.88370059	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A1IO	141.0129519	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A0RL	0.706459401	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A7-A26J	96.91557062	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A8-A075	89.49413284	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AR-A0TU	4.247877509	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-PE-A5DD	23.00587544	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A2-A4RY	12.2997498	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A1FE	106.6510894	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AN-A0XL	28.53587506	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A2-A0EU	40.89881987	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AN-A03X	170.8282375	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-EW-A1P4	54.23646628	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-S3-AA10	16.35650789	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E9-A1ND	241.2745775	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A0B6	10.57430533	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AR-A2LN	43.2100784	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A1LE	42.11813209	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AO-A0J8	75.44957943	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A8-A084	90.25489797	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E9-A249	14.4117778	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A209	31.20059013	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A0RN	42.00966135	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A7-A13D	145.0832665	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AC-A5XS	0.62823182	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-C8-A26X	30.25657491	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E9-A22E	89.80845334	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-GI-A2C9	3.678160432	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-D8-A1XV	14.7648377	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AN-A0XV	36.92536116	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A2IU	15.15669179	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-LL-A442	15.44849765	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A15K	7.376046581	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A14Y	34.71930381	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A0IH	19.99421612	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A15I	1.887139031	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A7-A3RF	25.95795916	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-D8-A1XU	94.70951241	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AR-A251	63.65591642	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A0RS	25.1068329	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-LD-A7W6	4.059794334	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A1EX	62.90795915	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A109	70.45628104	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-EW-A1IW	50.42358067	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A0W7	39.07240507	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-EW-A1PC	115.3160261	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-EW-A1PH	13.97838845	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AN-A0FD	78.13089287	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A2-A0SV	54.30624108	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A0HU	15.71780418	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A7-A26I	123.4313477	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A1BC	71.53856552	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-D8-A73X	39.50888196	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AC-A2QI	31.76888268	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A14S	8.148043004	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A8-A07L	72.59350819	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A8-A08T	36.12828643	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A0IB	30.05205595	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E9-A1R7	36.16218421	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A1KC	11.32940632	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A0EE	1.102734123	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-B6-A1KI	51.80714395	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-D8-A140	28.97885619	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A18L	4.109708842	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A18N	40.77091899	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AN-A0XS	57.33194832	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A1F5	31.21817844	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-C8-A1HN	25.32207013	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A1LS	1.579714571	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A15E	72.40583274	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-E2-A1LA	6.305452844	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-D8-A1JD	121.5867023	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-LL-A73Z	9.121120646	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-BH-A1FM	294.0873984	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AC-A6IX	8.040858048	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-AO-A124	16.6668988	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
TCGA-BRCA_TCGA-A2-A0ER	25.20016454	71_Breast_Invasive_Carcinoma	TCGA_BRCA_200
